Bevölkerung am 01.01.2023 nach Katastralgemeinden (Gebietsstand 01.01.2023),,,,,
Bundesland,Gemeinde-kennziffer (GKZ),Gemeindename,Katastral-gemeinde-nummer (KGNR),Katastralgemeindename,"Bevölkerung
am 01.01.2023"
Burgenland,10101,Eisenstadt,30003,Eisenstadt,"9,369"
Burgenland,10101,Eisenstadt,30004,Oberberg-Eisenstadt,385
Burgenland,10101,Eisenstadt,30005,Unterberg-Eisenstadt,66
Burgenland,10101,Eisenstadt,30008,Kleinhöflein im Burgenland,"3,250"
Burgenland,10101,Eisenstadt,30019,St. Georgen,"2,659"
Burgenland,10201,Rust,30018,Rust,"1,964"
Burgenland,10301,Breitenbrunn am Neusiedler See,30001,Breitenbrunn am Neusiedler See,"1,932"
Burgenland,10302,Donnerskirchen,30002,Donnerskirchen,"1,844"
Burgenland,10303,Großhöflein,30006,Großhöflein,"2,091"
Burgenland,10304,Hornstein,30007,Hornstein,"3,270"
Burgenland,10305,Klingenbach,30009,Klingenbach,"1,280"
Burgenland,10306,Leithaprodersdorf,30010,Leithaprodersdorf,"1,217"
Burgenland,10307,Mörbisch am See,30012,Mörbisch am See,"2,218"
Burgenland,10308,Müllendorf,30013,Müllendorf,"1,469"
Burgenland,10309,Neufeld an der Leitha,30014,Neufeld an der Leitha,"3,642"
Burgenland,10310,Oggau am Neusiedler See,30015,Oggau,"1,710"
Burgenland,10311,Oslip,30016,Oslip,"1,312"
Burgenland,10312,Purbach am Neusiedler See,30017,Purbach am Neusiedlersee,"2,984"
Burgenland,10313,Sankt Margarethen im Burgenland,30020,St. Margarethen,"2,734"
Burgenland,10314,Schützen am Gebirge,30021,Schützen am Gebirge,"1,442"
Burgenland,10315,Siegendorf,30022,Siegendorf,"3,248"
Burgenland,10316,Steinbrunn,30023,Steinbrunn,"3,069"
Burgenland,10317,Trausdorf an der Wulka,30025,Trausdorf an der Wulka,"2,139"
Burgenland,10318,Wimpassing an der Leitha,30026,Wimpassing an der Leitha,"1,734"
Burgenland,10319,Wulkaprodersdorf,30027,Wulkaprodersdorf,"1,952"
Burgenland,10320,Loretto,30011,Loretto,516
Burgenland,10321,Stotzing,30024,Stotzing,832
Burgenland,10322,Zillingtal,30029,Zillingtal,"1,005"
Burgenland,10323,Zagersdorf,30028,Zagersdorf,"1,147"
Burgenland,10401,Bocksdorf,31001,Bocksdorf,811
Burgenland,10402,Burgauberg-Neudauberg,31002,Burgauberg,762
Burgenland,10402,Burgauberg-Neudauberg,31031,Neudauberg,707
Burgenland,10403,Eberau,31006,Eberau,388
Burgenland,10403,Eberau,31008,Gaas,265
Burgenland,10403,Eberau,31022,Kroatisch Ehrensdorf,67
Burgenland,10403,Eberau,31026,Kulm,118
Burgenland,10403,Eberau,31057,Winten,79
Burgenland,10404,Gerersdorf-Sulz,31010,Gerersdorf bei Güssing,506
Burgenland,10404,Gerersdorf-Sulz,31039,Rehgraben,171
Burgenland,10404,Gerersdorf-Sulz,31050,Sulz im Burgenland,356
Burgenland,10405,Güssing,31011,Glasing,117
Burgenland,10405,Güssing,31013,Güssing,"2,645"
Burgenland,10405,Güssing,31024,Krottendorf bei Güssing,237
Burgenland,10405,Güssing,31043,St. Nikolaus,209
Burgenland,10405,Güssing,31047,Steingraben,175
Burgenland,10405,Güssing,31056,Urbersdorf,227
Burgenland,10406,Güttenbach,31014,Güttenbach,872
