Ergebnisse der Landtagswahl vom 23. April 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Code;Region;Wahlberechtigte;abgegebene Stimmen;;;;;Parteistimmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;gesamt;;ungültig;;gültig;ÖVP;;SPÖ;;FPÖ;;GRÜNE;;NEOS;;KPÖ;;WIRS;;MFG;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Staat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50000;Salzburg;386.972;274.521;70,9%;5.331;1,9%;269.190;81.752;30,4%;48.099;17,9%;69.310;25,7%;22.074;8,2%;11.310;4,2%;31.383;11,7%;3.191;1,2%;2.071;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Salzburger Bezirke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50100;Salzburg (Stadt);93.836;59.599;63,5%;720;1,2%;58.879;14.628;24,8%;9.779;16,6%;11.025;18,7%;7.198;12,2%;2.722;4,6%;12.665;21,5%;515;0,9%;347;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50200;Hallein;43.023;32.238;74,9%;743;2,3%;31.495;8.736;27,7%;6.241;19,8%;8.710;27,7%;2.546;8,1%;1.212;3,8%;3.324;10,6%;423;1,3%;303;1,0%;;;;;;;;;;;;;;;;;;;;;;;;;
50300;Salzburg-Umgebung;113.751;82.909;72,9%;1.651;2,0%;81.258;25.337;31,2%;12.597;15,5%;21.079;25,9%;7.644;9,4%;3.692;4,5%;9.091;11,2%;1.138;1,4%;680;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50400;St. Johann im Pongau;57.600;42.520;73,8%;896;2,1%;41.624;13.846;33,3%;8.506;20,4%;11.946;28,7%;1.951;4,7%;1.845;4,4%;2.793;6,7%;415;1,0%;322;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50500;Tamsweg;15.822;12.276;77,6%;275;2,2%;12.001;4.227;35,2%;1.969;16,4%;4.206;35,0%;425;3,5%;307;2,6%;608;5,1%;183;1,5%;76;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50600;Zell am See;62.940;44.979;71,5%;1.046;2,3%;43.933;14.978;34,1%;9.007;20,5%;12.344;28,1%;2.310;5,3%;1.532;3,5%;2.902;6,6%;517;1,2%;343;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
;Briefwahlkarten wurden in den Gemeinden direkt ausgezählt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Salzburger Gemeinden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50101;Salzburg (Stadt);93.836;59.599;63,5%;720;1,2%;58.879;14.628;24,8%;9.779;16,6%;11.025;18,7%;7.198;12,2%;2.722;4,6%;12.665;21,5%;515;0,9%;347;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50201;Abtenau;4.472;3.532;79,0%;106;3,0%;3.426;1.282;37,4%;644;18,8%;966;28,2%;141;4,1%;126;3,7%;203;5,9%;36;1,1%;28;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50202;Adnet;2.832;2.268;80,1%;56;2,5%;2.212;678;30,7%;356;16,1%;636;28,8%;182;8,2%;97;4,4%;212;9,6%;27;1,2%;24;1,1%;;;;;;;;;;;;;;;;;;;;;;;;;
50203;Annaberg-Lungötz;1.674;1.348;80,5%;36;2,7%;1.312;573;43,7%;232;17,7%;358;27,3%;48;3,7%;26;2,0%;54;4,1%;12;0,9%;9;0,7%;;;;;;;;;;;;;;;;;;;;;;;;;
50204;Golling an der Salzach;2.997;2.323;77,5%;50;2,2%;2.273;621;27,3%;472;20,8%;595;26,2%;189;8,3%;91;4,0%;262;11,5%;29;1,3%;14;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50205;Hallein;13.674;9.129;66,8%;159;1,7%;8.970;1.730;19,3%;2.307;25,7%;2.313;25,8%;848;9,5%;306;3,4%;1.281;14,3%;107;1,2%;78;0,9%;;;;;;;;;;;;;;;;;;;;;;;;;
50206;Krispl;699;601;86,0%;11;1,8%;590;203;34,4%;91;15,4%;220;37,3%;19;3,2%;13;2,2%;27;4,6%;10;1,7%;7;1,2%;;;;;;;;;;;;;;;;;;;;;;;;;
50207;Kuchl;5.392;4.173;77,4%;120;2,9%;4.053;1.037;25,6%;687;17,0%;1.221;30,1%;370;9,1%;185;4,6%;414;10,2%;77;1,9%;62;1,5%;;;;;;;;;;;;;;;;;;;;;;;;;
50208;Oberalm;3.216;2.518;78,3%;40;1,6%;2.478;681;27,5%;466;18,8%;546;22,0%;309;12,5%;118;4,8%;317;12,8%;20;0,8%;21;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50209;Puch bei Hallein;3.395;2.462;72,5%;44;1,8%;2.418;714;29,5%;423;17,5%;531;22,0%;253;10,5%;122;5,0%;322;13,3%;28;1,2%;25;1,0%;;;;;;;;;;;;;;;;;;;;;;;;;
50210;Rußbach am Paß Gschütt;620;516;83,2%;12;2,3%;504;171;33,9%;109;21,6%;151;30,0%;13;2,6%;10;2,0%;38;7,5%;7;1,4%;5;1,0%;;;;;;;;;;;;;;;;;;;;;;;;;
50211;St. Koloman;1.356;1.212;89,4%;50;4,1%;1.162;420;36,1%;115;9,9%;454;39,1%;49;4,2%;39;3,4%;50;4,3%;24;2,1%;11;0,9%;;;;;;;;;;;;;;;;;;;;;;;;;
50212;Scheffau am Tennengebirge;1.128;932;82,6%;30;3,2%;902;315;34,9%;123;13,6%;324;35,9%;36;4,0%;33;3,7%;45;5,0%;16;1,8%;10;1,1%;;;;;;;;;;;;;;;;;;;;;;;;;
50213;Bad Vigaun;1.568;1.224;78,1%;29;2,4%;1.195;311;26,0%;216;18,1%;395;33,1%;89;7,4%;46;3,8%;99;8,3%;30;2,5%;9;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50301;Anif;3.045;2.227;73,1%;50;2,2%;2.177;793;36,4%;274;12,6%;440;20,2%;252;11,6%;103;4,7%;282;13,0%;25;1,1%;8;0,4%;;;;;;;;;;;;;;;;;;;;;;;;;
50302;Anthering;2.839;2.172;76,5%;49;2,3%;2.123;703;33,1%;231;10,9%;518;24,4%;240;11,3%;73;3,4%;295;13,9%;39;1,8%;24;1,1%;;;;;;;;;;;;;;;;;;;;;;;;;
