ID,dgm5m
1,2214011680.5162354
2,52598.380126953125
3,1418987750.204712
4,NA
5,683143191.7288818
6,NA
7,11981770127.840332
8,4512112075.51709
9,19370274.638061523
10,NA
11,NA
12,140287107.3236084
13,5824843170.086182
14,719678746.9295654
15,NA
16,1048532060.5262451
17,NA
18,1702631955.3276367
19,142762077.2730713
20,NA
21,NA
22,NA
23,NA
24,2627581.2001953125
25,1530906272.2954102
26,4313308758.555054
27,2396505769.562744
28,10062057295.055054
29,NA
30,152959903.72705078
31,2896561924.1690674
32,4996101493.881592
33,163687123.2125244
34,163173179.2738037
35,NA
36,2447611863.400635
37,NA
38,NA
39,NA
40,38877745.84741211
41,NA
42,4804301386.753174
43,475006386.6470947
44,5735294665.005737
45,6611542923.979736
46,3290269280.968506
47,NA
48,14069381440.059082
49,21621938.319580078
50,390312854.0197754
51,NA
52,NA
53,502008134.8553467
54,1448883956.043579
55,4379560724.982056
56,714917684.0279541
57,153264638.31726074
58,4733732636.574707
59,1473312849.269287
60,NA
61,858436686.0872803
62,6062924230.662842
63,7909177608.589355
64,1383736011.1029053
65,11885386524.314941
66,NA
67,2382090918.595215
68,NA
69,NA
70,NA
71,NA
72,1264933738.8242188
73,961030053.1166992
74,NA
75,NA
76,429495477.0093994
77,4365766647.342407
78,15271431633.909546
79,371316847.13586426
80,5001563831.227661
81,2211008299.409912
82,NA
83,NA
84,NA
85,63286068.51049805
86,401852638.25549316
87,262862600.87902832
88,812761422.7219238
89,799747583.6724854
90,1015588439.4416504
91,2523470642.706787
92,1129046645.9727783
93,1001471466.5350342
94,NA
95,NA
96,NA
97,NA
98,NA
99,302530453.1356201
100,860416174.9086914
101,3639348506.2490234
102,2242105200.845093
103,NA
104,4186275508.1118164
105,5591152426.516602
106,1203214237.1669922
107,243593130.30541992
108,3598336181.560913
109,9787802801.60315
110,1114993598.0061035
111,646699719.4853516
112,4121814298.631836
113,NA
114,2271328786.1140137
115,4831965336.96228
116,5306480716.948486
117,1780891732.803833
118,8733801183.03772
119,842517416.973877
