ID,dgm5m
1,1246824
2,35
3,816237
4,NA
5,391927
6,NA
7,5665451
8,2370266
9,12457
10,NA
11,NA
12,87530
13,2895485
14,417774
15,NA
16,607666
17,NA
18,961681
19,89963
20,NA
21,NA
22,NA
23,NA
24,1724
25,879383
26,2323949
27,1357173
28,4688517
29,NA
30,95303
31,1584406
32,2801842
33,99003
34,98195
35,NA
36,1227674
37,NA
38,NA
39,NA
40,25027
41,NA
42,2221227
43,294383
44,2967451
45,2870259
46,1781292
47,NA
48,6211887
49,13971
50,210677
51,NA
52,NA
53,292410
54,838891
55,2165606
56,397126
57,94857
58,2379903
59,754409
60,NA
61,478711
62,3002007
63,3855243
64,770812
65,5211509
66,NA
67,1230610
68,NA
69,NA
70,NA
71,NA
72,617117
73,544449
74,NA
75,NA
76,269683
77,2370850
78,7406138
79,224405
80,2843706
81,1158427
82,NA
83,NA
84,NA
85,39791
86,247537
87,166340
88,465122
89,456987
90,559640
91,1387014
92,636083
93,532779
94,NA
95,NA
96,NA
97,NA
98,NA
99,187300
100,481007
101,2162819
102,1285889
103,NA
104,2277710
105,2890782
106,712523
107,150649
108,1983473
109,4616526
110,656592
111,388073
112,2140773
113,NA
114,1217257
115,2487109
116,2593044
117,899109
118,4445872
119,501129
