ID,ESA_WorldCover_10m_2021_v200_N45E012_Map
1,1184238
2,189244
3,257448
4,37727
5,265863
6,219019
7,1196333
8,865725
9,109692
10,115149
11,186335
12,184577
13,855722
14,253429
15,15338
16,333633
17,151489
18,363139
19,115804
20,70811
21,87480
22,93462
23,325031
24,186522
25,345367
26,631291
27,303132
28,1193488
29,46262
30,205911
31,447386
32,1017820
33,66988
34,82298
35,67180
36,342666
37,111673
38,96061
39,220542
40,132728
41,104086
42,701993
43,159127
44,783161
45,513839
46,444024
47,145639
48,773818
49,161331
50,319531
51,263084
52,339080
53,164188
54,463414
55,496851
56,241639
57,178330
58,843574
59,319707
60,155943
61,178303
62,1092881
63,976556
64,340856
65,812494
66,284328
67,462405
68,249608
69,45002
70,30844
71,271972
72,290622
73,263273
74,50157
75,67465
76,218900
77,541598
78,2306415
79,158612
80,1310947
81,742490
82,249952
83,55868
84,235127
85,290268
86,383511
87,348799
88,135100
89,280681
90,225607
91,379735
92,317825
93,266673
94,125077
95,12505
96,112648
97,595739
98,500832
99,412219
100,218900
101,494788
102,597496
103,368374
104,538348
105,661503
106,377850
107,87254
108,459620
109,1089229
110,205179
111,266061
112,763404
113,111462
114,334809
115,690565
116,901234
117,323346
118,1183294
119,217912
